/home/migly-home/git/roborescue-v1.2/boot/logs
Waiting for '/home/migly-home/git/roborescue-v1.2/boot/logs/kernel.log' to exist...
Still waiting for '/home/migly-home/git/roborescue-v1.2/boot/logs/kernel.log' to exist...
TRACE startup : Setting 'perception.standard.view-distance' to '10000'
TRACE startup : Setting 'perception.standard.use-far-fires' to 'true'
TRACE startup : Setting 'perception.standard.far-fire-distance' to '10000'
TRACE startup : Setting 'perception.standard.hp-precision' to '1000'
TRACE startup : Setting 'perception.standard.damage-precision' to '100'
TRACE startup : Setting 'perception.los.max-distance' to '30000'
TRACE startup : Setting 'perception.los.ray-count' to '72'
TRACE startup : Setting 'perception.los.precision.hp' to '1000'
TRACE startup : Setting 'perception.los.precision.damage' to '100'
TRACE startup : Reading included config 'score.cfg'
TRACE startup : Setting 'score.function' to 'rescuecore2.standard.score.LegacyScoreFunction'
TRACE startup : Setting 'score.standard.building-fire.heating' to '0.66'
TRACE startup : Setting 'score.standard.building-fire.burning' to '0.33'
TRACE startup : Setting 'score.standard.building-fire.inferno' to '0.0'
TRACE startup : Setting 'score.standard.building-fire.water-damage' to '0.90'
TRACE startup : Setting 'score.standard.building-fire.minor-damage' to '0.75'
TRACE startup : Setting 'score.standard.building-fire.moderate-damage' to '0.5'
TRACE startup : Setting 'score.standard.building-fire.severe-damage' to '0.25'
TRACE startup : Setting 'score.standard.building-fire.burnt-out' to '0'
TRACE startup : Setting 'score.standard.building-fire.absolute' to 'false'
TRACE startup : Setting 'score.standard.health.absolute' to 'false'
TRACE startup : Reading included config 'collapse.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Setting 'collapse.wood.p-destroyed' to '0.15'
TRACE startup : Setting 'collapse.wood.p-severe' to '0.15'
TRACE startup : Setting 'collapse.wood.p-moderate' to '0.15'
TRACE startup : Setting 'collapse.wood.p-slight' to '0.15'
TRACE startup : Setting 'collapse.wood.p-none' to '0.4'
TRACE startup : Setting 'collapse.steel.p-destroyed' to '0.1'
TRACE startup : Setting 'collapse.steel.p-severe' to '0.15'
TRACE startup : Setting 'collapse.steel.p-moderate' to '0.2'
TRACE startup : Setting 'collapse.steel.p-slight' to '0.25'
TRACE startup : Setting 'collapse.steel.p-none' to '0.3'
TRACE startup : Setting 'collapse.concrete.p-destroyed' to '0.3'
TRACE startup : Setting 'collapse.concrete.p-severe' to '0.25'
TRACE startup : Setting 'collapse.concrete.p-moderate' to '0.2'
TRACE startup : Setting 'collapse.concrete.p-slight' to '0.15'
TRACE startup : Setting 'collapse.concrete.p-none' to '0.1'
TRACE startup : Setting 'collapse.destroyed.mean' to '100'
TRACE startup : Setting 'collapse.destroyed.sd' to '5'
TRACE startup : Setting 'collapse.severe.mean' to '75'
TRACE startup : Setting 'collapse.severe.sd' to '5'
TRACE startup : Setting 'collapse.moderate.mean' to '50'
TRACE startup : Setting 'collapse.moderate.sd' to '5'
TRACE startup : Setting 'collapse.slight.mean' to '25'
TRACE startup : Setting 'collapse.slight.sd' to '5'
TRACE startup : Setting 'collapse.create-road-blockages' to 'false'
TRACE startup : Setting 'collapse.floor-height' to '7'
TRACE startup : Setting 'collapse.wall-extent.min' to '0.4'
TRACE startup : Setting 'collapse.wall-extent.max' to '1'
TRACE startup : Reading included config 'clear.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Setting 'clear.repair.rate' to '10'
TRACE startup : Setting 'clear.repair.distance' to '10000'
TRACE startup : Setting 'clear.repair.rad' to '1250'
TRACE startup : Reading included config 'misc.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Setting 'misc.buriedness.wood.none.value' to '0'
TRACE startup : Setting 'misc.buriedness.wood.partial.value' to '20'
TRACE startup : Setting 'misc.buriedness.wood.half.value' to '30'
TRACE startup : Setting 'misc.buriedness.wood.all.value' to '60'
TRACE startup : Setting 'misc.buriedness.steel.none.value' to '0'
TRACE startup : Setting 'misc.buriedness.steel.partial.value' to '20'
TRACE startup : Setting 'misc.buriedness.steel.half.value' to '35'
TRACE startup : Setting 'misc.buriedness.steel.all.value' to '70'
TRACE startup : Setting 'misc.buriedness.concrete.none.value' to '0'
TRACE startup : Setting 'misc.buriedness.concrete.partial.value' to '35'
TRACE startup : Setting 'misc.buriedness.concrete.half.value' to '60'
TRACE startup : Setting 'misc.buriedness.concrete.all.value' to '80'
TRACE startup : Setting 'misc.buriedness.wood.none.rate' to '0'
TRACE startup : Setting 'misc.buriedness.wood.partial.rate' to '1'
TRACE startup : Setting 'misc.buriedness.wood.half.rate' to '1'
TRACE startup : Setting 'misc.buriedness.wood.all.rate' to '1'
TRACE startup : Setting 'misc.buriedness.steel.none.rate' to '0'
TRACE startup : Setting 'misc.buriedness.steel.partial.rate' to '0.008'
TRACE startup : Setting 'misc.buriedness.steel.half.rate' to '0.008'
TRACE startup : Setting 'misc.buriedness.steel.all.rate' to '0.008'
TRACE startup : Setting 'misc.buriedness.concrete.none.rate' to '0'
TRACE startup : Setting 'misc.buriedness.concrete.partial.rate' to '0.008'
TRACE startup : Setting 'misc.buriedness.concrete.half.rate' to '0.008'
TRACE startup : Setting 'misc.buriedness.concrete.all.rate' to '0.008'
TRACE startup : Setting 'misc.injury.collapse.wood.none.slight' to '0'
TRACE startup : Setting 'misc.injury.collapse.wood.none.serious' to '0'
TRACE startup : Setting 'misc.injury.collapse.wood.none.critical' to '0'
TRACE startup : Setting 'misc.injury.collapse.wood.partial.slight' to '0.5'
TRACE startup : Setting 'misc.injury.collapse.wood.partial.serious' to '0.3'
TRACE startup : Setting 'misc.injury.collapse.wood.partial.critical' to '0.02'
TRACE startup : Setting 'misc.injury.collapse.wood.half.slight' to '0.5'
TRACE startup : Setting 'misc.injury.collapse.wood.half.serious' to '0.3'
TRACE startup : Setting 'misc.injury.collapse.wood.half.critical' to '0.02'
TRACE startup : Setting 'misc.injury.collapse.wood.all.slight' to '0.5'
TRACE startup : Setting 'misc.injury.collapse.wood.all.serious' to '0.3'
TRACE startup : Setting 'misc.injury.collapse.wood.all.critical' to '0.02'
TRACE startup : Setting 'misc.injury.collapse.steel.none.slight' to '0'
TRACE startup : Setting 'misc.injury.collapse.steel.none.serious' to '0'
TRACE startup : Setting 'misc.injury.collapse.steel.none.critical' to '0'
TRACE startup : Setting 'misc.injury.collapse.steel.partial.slight' to '0.1'
TRACE startup : Setting 'misc.injury.collapse.steel.partial.serious' to '0.03'
TRACE startup : Setting 'misc.injury.collapse.steel.partial.critical' to '0.005'
TRACE startup : Setting 'misc.injury.collapse.steel.half.slight' to '0.1'
TRACE startup : Setting 'misc.injury.collapse.steel.half.serious' to '0.03'
TRACE startup : Setting 'misc.injury.collapse.steel.half.critical' to '0.005'
TRACE startup : Setting 'misc.injury.collapse.steel.all.slight' to '0.1'
TRACE startup : Setting 'misc.injury.collapse.steel.all.serious' to '0.03'
TRACE startup : Setting 'misc.injury.collapse.steel.all.critical' to '0.005'
TRACE startup : Setting 'misc.injury.collapse.concrete.none.slight' to '0'
TRACE startup : Setting 'misc.injury.collapse.concrete.none.serious' to '0'
TRACE startup : Setting 'misc.injury.collapse.concrete.none.critical' to '0'
TRACE startup : Setting 'misc.injury.collapse.concrete.partial.slight' to '0.1'
TRACE startup : Setting 'misc.injury.collapse.concrete.partial.serious' to '0.03'
TRACE startup : Setting 'misc.injury.collapse.concrete.partial.critical' to '0.005'
TRACE startup : Setting 'misc.injury.collapse.concrete.half.slight' to '0.1'
TRACE startup : Setting 'misc.injury.collapse.concrete.half.serious' to '0.03'
TRACE startup : Setting 'misc.injury.collapse.concrete.half.critical' to '0.005'
TRACE startup : Setting 'misc.injury.collapse.concrete.all.slight' to '0.1'
TRACE startup : Setting 'misc.injury.collapse.concrete.all.serious' to '0.03'
TRACE startup : Setting 'misc.injury.collapse.concrete.all.critical' to '0.005'
TRACE startup : Setting 'misc.injury.collapse.slight' to '2'
TRACE startup : Setting 'misc.injury.collapse.serious' to '10'
TRACE startup : Setting 'misc.injury.collapse.critical' to '10000'
TRACE startup : Setting 'misc.injury.collapse.multiplier.ambulance' to '0.2'
TRACE startup : Setting 'misc.injury.collapse.multiplier.police' to '0.2'
TRACE startup : Setting 'misc.injury.collapse.multiplier.fire' to '0.2'
TRACE startup : Setting 'misc.injury.bury.wood.none.slight' to '0'
TRACE startup : Setting 'misc.injury.bury.wood.none.serious' to '0'
TRACE startup : Setting 'misc.injury.bury.wood.none.critical' to '0'
TRACE startup : Setting 'misc.injury.bury.wood.partial.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.wood.partial.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.wood.partial.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.wood.half.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.wood.half.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.wood.half.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.wood.all.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.wood.all.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.wood.all.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.steel.none.slight' to '0'
TRACE startup : Setting 'misc.injury.bury.steel.none.serious' to '0'
TRACE startup : Setting 'misc.injury.bury.steel.none.critical' to '0'
TRACE startup : Setting 'misc.injury.bury.steel.partial.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.steel.partial.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.steel.partial.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.steel.half.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.steel.half.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.steel.half.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.steel.all.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.steel.all.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.steel.all.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.concrete.none.slight' to '0'
TRACE startup : Setting 'misc.injury.bury.concrete.none.serious' to '0'
TRACE startup : Setting 'misc.injury.bury.concrete.none.critical' to '0'
TRACE startup : Setting 'misc.injury.bury.concrete.partial.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.concrete.partial.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.concrete.partial.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.concrete.half.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.concrete.half.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.concrete.half.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.concrete.all.slight' to '0.4'
TRACE startup : Setting 'misc.injury.bury.concrete.all.serious' to '0.5'
TRACE startup : Setting 'misc.injury.bury.concrete.all.critical' to '0.1'
TRACE startup : Setting 'misc.injury.bury.slight' to '3'
TRACE startup : Setting 'misc.injury.bury.serious' to '15'
TRACE startup : Setting 'misc.injury.bury.critical' to '100'
TRACE startup : Setting 'misc.injury.bury.multiplier.ambulance' to '0.2'
TRACE startup : Setting 'misc.injury.bury.multiplier.police' to '0.2'
TRACE startup : Setting 'misc.injury.bury.multiplier.fire' to '0.2'
TRACE startup : Setting 'misc.injury.fire.wood.none.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.wood.none.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.wood.none.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.wood.partial.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.wood.partial.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.wood.partial.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.wood.half.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.wood.half.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.wood.half.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.wood.all.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.wood.all.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.wood.all.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.steel.none.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.steel.none.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.steel.none.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.steel.partial.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.steel.partial.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.steel.partial.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.steel.half.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.steel.half.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.steel.half.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.steel.all.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.steel.all.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.steel.all.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.concrete.none.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.concrete.none.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.concrete.none.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.concrete.partial.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.concrete.partial.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.concrete.partial.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.concrete.half.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.concrete.half.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.concrete.half.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.concrete.all.slight' to '0.4'
TRACE startup : Setting 'misc.injury.fire.concrete.all.serious' to '0.2'
TRACE startup : Setting 'misc.injury.fire.concrete.all.critical' to '0.1'
TRACE startup : Setting 'misc.injury.fire.slight' to '5'
TRACE startup : Setting 'misc.injury.fire.serious' to '20'
TRACE startup : Setting 'misc.injury.fire.critical' to '100'
TRACE startup : Setting 'misc.injury.fire.multiplier.ambulance' to '1'
TRACE startup : Setting 'misc.injury.fire.multiplier.police' to '1'
TRACE startup : Setting 'misc.injury.fire.multiplier.fire' to '0.2'
TRACE startup : Setting 'misc.injury.collapse.k' to '0.00025'
TRACE startup : Setting 'misc.injury.collapse.l' to '0.01'
TRACE startup : Setting 'misc.injury.collapse.noise.mean' to '0.1'
TRACE startup : Setting 'misc.injury.collapse.noise.sd' to '0.01'
TRACE startup : Setting 'misc.injury.bury.k' to '0.000035'
TRACE startup : Setting 'misc.injury.bury.l' to '0.01'
TRACE startup : Setting 'misc.injury.bury.noise.mean' to '0.1'
TRACE startup : Setting 'misc.injury.bury.noise.sd' to '0.01'
TRACE startup : Setting 'misc.injury.fire.k' to '0.00025'
TRACE startup : Setting 'misc.injury.fire.l' to '0.03'
TRACE startup : Setting 'misc.injury.fire.noise.mean' to '0.1'
TRACE startup : Setting 'misc.injury.fire.noise.sd' to '0.01'
TRACE startup : Reading included config 'resq-fire.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Setting 'resq-fire.water_capacity' to '7500'
TRACE startup : Setting 'fire.tank.maximum' to '7500'
TRACE startup : Setting 'resq-fire.water_refill_rate' to '500'
TRACE startup : Setting 'fire.tank.refill_rate' to '500'
TRACE startup : Setting 'resq-fire.water_hydrant_refill_rate' to '150'
TRACE startup : Setting 'fire.tank.refill_hydrant_rate' to '150'
TRACE startup : Setting 'resq-fire.water_distance' to '50000'
TRACE startup : Setting 'fire.extinguish.max-distance' to '50000'
TRACE startup : Setting 'fire.extinguish.max-sum' to '500'
TRACE startup : Setting 'resq-fire.max_extinguish_power_sum' to '500'
TRACE startup : Setting 'resq-fire.rays.dir' to 'rays'
TRACE startup : Setting 'resq-fire.wind_speed' to '0'
TRACE startup : Setting 'resq-fire.steel_capacity' to '1.0'
TRACE startup : Setting 'resq-fire.wooden_energy' to '2400.0'
TRACE startup : Setting 'resq-fire.cell_size' to '5000'
TRACE startup : Setting 'resq-fire.air_cell_heat_capacity' to '0.004'
TRACE startup : Setting 'resq-fire.wooden_ignition' to '47.0'
TRACE startup : Setting 'resq-fire.water_thermal_capacity' to '20'
TRACE startup : Setting 'resq-fire.steel_burning' to '850.0'
TRACE startup : Setting 'resq-fire.concrete_energy' to '350.0'
TRACE startup : Setting 'resq-fire.air_to_air_flow' to '1.0'
TRACE startup : Setting 'resq-fire.gamma' to '0.2'
TRACE startup : Setting 'resq-fire.ambulancecenter_inflammable' to 'false'
TRACE startup : Setting 'resq-fire.steel_ignition' to '47.0'
TRACE startup : Setting 'resq-fire.wind_random' to '1'
TRACE startup : Setting 'resq-fire.radiation_coefficient' to '0.011'
TRACE startup : Setting 'resq-fire.steel_energy' to '800.0'
TRACE startup : Setting 'resq-fire.wooden_burning' to '800.0'
TRACE startup : Setting 'resq-fire.refuge_inflammable' to 'false'
TRACE startup : Setting 'resq-fire.policeoffice_inflammable' to 'false'
TRACE startup : Setting 'resq-fire.air_to_building_flow' to '0.0015'
TRACE startup : Setting 'resq-fire.concrete_burning' to '800.0'
TRACE startup : Setting 'resq-fire.wooden_capacity' to '1.1'
TRACE startup : Setting 'resq-fire.concrete_ignition' to '47.0'
TRACE startup : Setting 'resq-fire.wind_direction' to '100.0'
TRACE startup : Setting 'resq-fire.concrete_speed' to '0.05'
TRACE startup : Setting 'resq-fire.firestation_inflammable' to 'false'
TRACE startup : Setting 'resq-fire.steel_speed' to '0.05'
TRACE startup : Setting 'resq-fire.randomseed' to '23'
TRACE startup : Setting 'resq-fire.concrete_capacity' to '1.5'
TRACE startup : Setting 'resq-fire.wooden_speed' to '0.05'
TRACE startup : Setting 'resq-fire.energy_loss' to '0.86'
TRACE startup : Setting 'resq-fire.ray_rate' to '0.0025'
TRACE startup : Setting 'resq-fire.max_ray_distance' to '200000'
TRACE startup : Setting 'resq-fire.burn-rate-average' to '0.15'
TRACE startup : Setting 'resq-fire.burn-rate-variance' to '0.02'
TRACE startup : Reading included config 'traffic3.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Setting 'traffic3.nudge-magnitude' to '0.001'
TRACE startup : Setting 'traffic3.agent.force.coefficient.A' to '0.0001'
TRACE startup : Setting 'traffic3.agent.force.coefficient.B' to '0.001'
TRACE startup : Setting 'traffic3.agent.force.coefficient.K' to '0.00001'
TRACE startup : Setting 'traffic3.agent.distance.cutoff' to '10000'
TRACE startup : Setting 'traffic3.agent.force.limit' to '0.0001'
TRACE startup : Setting 'traffic3.wall.distance.cutoff' to '10000'
TRACE startup : Setting 'traffic3.wall.force.coefficient.A' to '0.01'
TRACE startup : Setting 'traffic3.wall.force.coefficient.B' to '0.7'
TRACE startup : Setting 'traffic3.rescue-agent.velocity.mean' to '0.7'
TRACE startup : Setting 'traffic3.rescue-agent.velocity.sd' to '0.1'
TRACE startup : Setting 'traffic3.civilian.velocity.mean' to '0.2'
TRACE startup : Setting 'traffic3.civilian.velocity.sd' to '0.002'
TRACE startup : Reading included config 'ignition.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Setting 'ignition.random.lambda' to '0.05'
TRACE startup : Setting 'ignition.gas_station.explosion.range' to '50000'
TRACE startup : Reading included config 'civilian.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Setting 'civilian.help.probability' to '0.1'
TRACE startup : Setting 'civilian.ouch.probability' to '0.1'
TRACE startup : Setting 'civilian.conscious.threshold' to '2500'
TRACE startup : Reading included config 'sample-agents.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Reading included config 'viewer.cfg'
TRACE startup : Reading included config 'common.cfg'
TRACE startup : Reading included config 'types.cfg'
TRACE startup : Setting 'loadabletypes.inspect.dir' to '../jars'
TRACE startup : Setting 'loadabletypes.inspect.deep' to 'yes'
TRACE startup : Setting 'random.seed' to '1'
TRACE startup : Setting 'senario.human.random-id' to 'true'
TRACE startup : Setting 'kernel.host' to 'localhost'
TRACE startup : Setting 'kernel.port' to '7000'
TRACE startup : Reading included config 'score.cfg'
TRACE startup : Setting 'score.function' to 'rescuecore2.standard.score.LegacyScoreFunction'
TRACE startup : Setting 'score.standard.building-fire.heating' to '0.66'
TRACE startup : Setting 'score.standard.building-fire.burning' to '0.33'
TRACE startup : Setting 'score.standard.building-fire.inferno' to '0.0'
TRACE startup : Setting 'score.standard.building-fire.water-damage' to '0.90'
TRACE startup : Setting 'score.standard.building-fire.minor-damage' to '0.75'
TRACE startup : Setting 'score.standard.building-fire.moderate-damage' to '0.5'
TRACE startup : Setting 'score.standard.building-fire.severe-damage' to '0.25'
TRACE startup : Setting 'score.standard.building-fire.burnt-out' to '0'
TRACE startup : Setting 'score.standard.building-fire.absolute' to 'false'
TRACE startup : Setting 'score.standard.health.absolute' to 'false'
TRACE startup : Setting 'log.viewers' to 'rescuecore2.standard.view.StandardWorldModelViewer'
TRACE startup : Setting 'viewer.standard.AreaNeighboursLayer.visible' to 'false'
TRACE startup : Setting 'viewer.standard.PositionHistoryLayer.visible' to 'false'
TRACE startup : Setting 'view.standard.human.icons.size' to '24'
TRACE startup : Setting 'view.standard.human.icons.use' to 'no'
TRACE startup : Setting 'kernel.logname' to 'logs/rescue.log'
TRACE startup : Setting 'kernel.timesteps' to '300'
TRACE startup : Setting 'kernel.termination' to 'kernel.TimestepTerminationCondition'
TRACE startup : Setting 'kernel.agents.think-time' to '1000'
TRACE startup : Setting 'kernel.agents.ignoreuntil' to '3'
TRACE startup : Setting 'kernel.commandcollectors' to 'kernel.TimedCommandCollector'
TRACE startup : Setting 'kernel.commandfilters' to 'kernel.WrongTimeCommandFilter'
TRACE startup : Appending 'kernel.FrozenAgentsCommandFilter' to 'kernel.commandfilters'
